New Cross;-0.0327;51.4767;
Elverson Road;-0.0174;51.4693;
Gallions Reach;0.0716;51.5096;
Pudding Mill Lane;-0.0139;51.5343;
Greenwich;-0.0149;51.4781;
South Quay;-0.0191;51.5007;
Beckton Park;0.055;51.5087;
Royal Albert;0.0465;51.5084;
Surrey Quays;-0.0478;51.4933;
Mudchute;-0.0145;51.4902;
Bow Church;-0.0208;51.5273;
East India;-0.0021;51.5093;
Poplar;-0.0173;51.5077;
Royal Victoria;0.0181;51.5091;
Tower Gateway;-0.0743;51.5106;
Deptford Bridge;-0.0216;51.474;
Wapping;-0.0558;51.5043;
Island Gardens;-0.0101;51.4871;
Cutty Sark;-0.0096;51.4827;
Rotherhithe;-0.0525;51.501;
All Saints;-0.013;51.5107;
Heron Quays;-0.0215;51.5033;
Lewisham;-0.0142;51.4657;
Monument;-0.0863;51.5108;
Crossharbour & London Arena;-0.0144;51.4957;
New Cross Gate;-0.0402;51.4757;
Custom House;0.0276;51.5095;
Beckton;0.0613;51.5148;
Devons Road;-0.0173;51.5223;
Cyprus;0.064;51.5085;
Limehouse;-0.0396;51.5123;
Prince Regent;0.0336;51.5093;
Shoreditch;-0.0708;51.5227;
West India Quay;-0.0203;51.507;
Shadwell;-0.056;51.5117;
Blackwall;-0.0066;51.5079;
Westferry;-0.0265;51.5097;
